City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
40,harrison,30.4091,-89.0436,40.01,48,20,5.14,US,1693164548
41,urzhum,57.1141,49.9996,7.31,91,100,5.38,RU,1693164548
42,aykhal,66.0,111.5,15.24,61,17,2.79,RU,1693164549
43,ilulissat,69.2167,-51.1,10.01,53,75,5.66,GL,1693164549
44,port elizabeth,-33.918,25.5701,12.83,93,0,0.51,ZA,1693164549
45,rongelap,11.1635,166.8941,28.54,78,100,7.91,MH,1693164549
46,lompoc,34.6391,-120.4579,36.12,78,0,3.6,US,1693164366
47,leppavirta,62.4901,27.7826,12.19,71,99,0.88,FI,1693164550
48,lihue,21.9789,-159.3672,27.77,72,40,5.14,US,1693164550
49,sarakhs,36.5449,61.1577,24.1,29,12,4.7,IR,1693164550
50,jawad,24.6,74.85,22.69,79,6,4.34,IN,1693164550
51,namibe,-15.1961,12.1522,16.9,84,13,3.41,AO,1693164550
52,ghanzi,-21.5667,21.7833,19.87,31,100,4.86,BW,1693164550
53,saldanha,-33.0117,17.9442,11.03,76,0,4.05,ZA,1693164550
54,mata-utu,-13.2816,-176.1745,26.54,78,100,12.09,WF,1693164551
55,arraial do cabo,-22.9661,-42.0278,16.98,94,100,2.57,BR,1693164298
56,san antonio de pale,-1.4014,5.6325,23.88,86,38,5.59,GQ,1693164551
57,huarmey,-10.0681,-78.1522,22.65,68,4,4.4,PE,1693164551
58,avarua,-21.2078,-159.775,23.03,64,20,2.57,CK,1693164520
59,albany,42.6001,-73.9662,25.1,64,75,0.89,US,1693164551
60,tsiombe,-25.3,45.4833,20.29,73,98,4.55,MG,1693164551
61,kismayo,-0.3582,42.5454,25.18,86,11,6.96,SO,1693164552
62,nar'yan-mar,67.6713,53.087,6.98,93,100,3.28,RU,1693164552
63,alice springs,-23.7,133.8833,5.75,45,0,2.57,AU,1693164421
64,carnarvon,-24.8667,113.6333,18.46,77,0,3.77,AU,1693164552
65,shiyan,32.6475,110.7781,19.74,92,100,1.34,CN,1693164552
